sentence,condition,CW- or CWC-congruent
"If cats had liked vegetables, people would have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, people might have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If cats had liked vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If cats had liked vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If cats had liked vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If cats had liked vegetables, zoo keepers would have fed them with grass.",CW,Y
"If cats had liked vegetables, zoo keepers might have fed them with grass.",CW,Y
"If cats had liked vegetables, zoo keepers would have fed them with apples.",CW,Y
"If cats had liked vegetables, zoo keepers might have fed them with apples.",CW,Y
"If cats had liked vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, families would have fed them with carrots.",CW,Y
"If cats had liked vegetables, families might have fed them with carrots.",CW,Y
"If cats had liked vegetables, families would have fed them with cabbages.",CW,Y
"If cats had liked vegetables, families might have fed them with cabbages.",CW,Y
"If cats had liked vegetables, families would have fed them with grass.",CW,Y
"If cats had liked vegetables, families might have fed them with grass.",CW,Y
"If cats had liked vegetables, families would have fed them with apples.",CW,Y
"If cats had liked vegetables, families might have fed them with apples.",CW,Y
"If cats had liked vegetables, families would have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, families might have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, their mothers would have fed them with carrots.",CW,Y
"If cats had liked vegetables, their mothers might have fed them with carrots.",CW,Y
"If cats had liked vegetables, their mothers would have fed them with cabbages.",CW,Y
"If cats had liked vegetables, their mothers might have fed them with cabbages.",CW,Y
"If cats had liked vegetables, their mothers would have fed them with grass.",CW,Y
"If cats had liked vegetables, their mothers might have fed them with grass.",CW,Y
"If cats had liked vegetables, their mothers would have fed them with apples.",CW,Y
"If cats had liked vegetables, their mothers might have fed them with apples.",CW,Y
"If cats had liked vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, breeders would have fed them with carrots.",CW,Y
"If cats had liked vegetables, breeders might have fed them with carrots.",CW,Y
"If cats had liked vegetables, breeders would have fed them with cabbages.",CW,Y
"If cats had liked vegetables, breeders might have fed them with cabbages.",CW,Y
"If cats had liked vegetables, breeders would have fed them with grass.",CW,Y
"If cats had liked vegetables, breeders might have fed them with grass.",CW,Y
"If cats had liked vegetables, breeders would have fed them with apples.",CW,Y
"If cats had liked vegetables, breeders might have fed them with apples.",CW,Y
"If cats had liked vegetables, breeders would have fed them with tomatoes.",CW,Y
"If cats had liked vegetables, breeders might have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, people would have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, people might have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, people would have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, people might have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, people would have fed them with grass.",CW,Y
"If cats had been interested in vegetables, people might have fed them with grass.",CW,Y
"If cats had been interested in vegetables, people would have fed them with apples.",CW,Y
"If cats had been interested in vegetables, people might have fed them with apples.",CW,Y
"If cats had been interested in vegetables, people would have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, people might have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, zoo keepers would have fed them with grass.",CW,Y
"If cats had been interested in vegetables, zoo keepers might have fed them with grass.",CW,Y
"If cats had been interested in vegetables, zoo keepers would have fed them with apples.",CW,Y
"If cats had been interested in vegetables, zoo keepers might have fed them with apples.",CW,Y
"If cats had been interested in vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, families would have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, families might have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, families would have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, families might have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, families would have fed them with grass.",CW,Y
"If cats had been interested in vegetables, families might have fed them with grass.",CW,Y
"If cats had been interested in vegetables, families would have fed them with apples.",CW,Y
"If cats had been interested in vegetables, families might have fed them with apples.",CW,Y
"If cats had been interested in vegetables, families would have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, families might have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, their mothers would have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, their mothers might have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, their mothers would have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, their mothers might have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, their mothers would have fed them with grass.",CW,Y
"If cats had been interested in vegetables, their mothers might have fed them with grass.",CW,Y
"If cats had been interested in vegetables, their mothers would have fed them with apples.",CW,Y
"If cats had been interested in vegetables, their mothers might have fed them with apples.",CW,Y
"If cats had been interested in vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, breeders would have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, breeders might have fed them with carrots.",CW,Y
"If cats had been interested in vegetables, breeders would have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, breeders might have fed them with cabbages.",CW,Y
"If cats had been interested in vegetables, breeders would have fed them with grass.",CW,Y
"If cats had been interested in vegetables, breeders might have fed them with grass.",CW,Y
"If cats had been interested in vegetables, breeders would have fed them with apples.",CW,Y
"If cats had been interested in vegetables, breeders might have fed them with apples.",CW,Y
"If cats had been interested in vegetables, breeders would have fed them with tomatoes.",CW,Y
"If cats had been interested in vegetables, breeders might have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, people would have fed them with carrots.",CW,Y
"If dogs had loved vegetables, people might have fed them with carrots.",CW,Y
"If dogs had loved vegetables, people would have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, people might have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, people would have fed them with grass.",CW,Y
"If dogs had loved vegetables, people might have fed them with grass.",CW,Y
"If dogs had loved vegetables, people would have fed them with apples.",CW,Y
"If dogs had loved vegetables, people might have fed them with apples.",CW,Y
"If dogs had loved vegetables, people would have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, people might have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If dogs had loved vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If dogs had loved vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, zoo keepers would have fed them with grass.",CW,Y
"If dogs had loved vegetables, zoo keepers might have fed them with grass.",CW,Y
"If dogs had loved vegetables, zoo keepers would have fed them with apples.",CW,Y
"If dogs had loved vegetables, zoo keepers might have fed them with apples.",CW,Y
"If dogs had loved vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, families would have fed them with carrots.",CW,Y
"If dogs had loved vegetables, families might have fed them with carrots.",CW,Y
"If dogs had loved vegetables, families would have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, families might have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, families would have fed them with grass.",CW,Y
"If dogs had loved vegetables, families might have fed them with grass.",CW,Y
"If dogs had loved vegetables, families would have fed them with apples.",CW,Y
"If dogs had loved vegetables, families might have fed them with apples.",CW,Y
"If dogs had loved vegetables, families would have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, families might have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, their mothers would have fed them with carrots.",CW,Y
"If dogs had loved vegetables, their mothers might have fed them with carrots.",CW,Y
"If dogs had loved vegetables, their mothers would have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, their mothers might have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, their mothers would have fed them with grass.",CW,Y
"If dogs had loved vegetables, their mothers might have fed them with grass.",CW,Y
"If dogs had loved vegetables, their mothers would have fed them with apples.",CW,Y
"If dogs had loved vegetables, their mothers might have fed them with apples.",CW,Y
"If dogs had loved vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, breeders would have fed them with carrots.",CW,Y
"If dogs had loved vegetables, breeders might have fed them with carrots.",CW,Y
"If dogs had loved vegetables, breeders would have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, breeders might have fed them with cabbages.",CW,Y
"If dogs had loved vegetables, breeders would have fed them with grass.",CW,Y
"If dogs had loved vegetables, breeders might have fed them with grass.",CW,Y
"If dogs had loved vegetables, breeders would have fed them with apples.",CW,Y
"If dogs had loved vegetables, breeders might have fed them with apples.",CW,Y
"If dogs had loved vegetables, breeders would have fed them with tomatoes.",CW,Y
"If dogs had loved vegetables, breeders might have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, people would have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, people might have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, people would have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, people might have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, people would have fed them with grass.",CW,Y
"If dogs had eaten vegetables, people might have fed them with grass.",CW,Y
"If dogs had eaten vegetables, people would have fed them with apples.",CW,Y
"If dogs had eaten vegetables, people might have fed them with apples.",CW,Y
"If dogs had eaten vegetables, people would have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, people might have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, zoo keepers would have fed them with grass.",CW,Y
"If dogs had eaten vegetables, zoo keepers might have fed them with grass.",CW,Y
"If dogs had eaten vegetables, zoo keepers would have fed them with apples.",CW,Y
"If dogs had eaten vegetables, zoo keepers might have fed them with apples.",CW,Y
"If dogs had eaten vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, families would have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, families might have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, families would have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, families might have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, families would have fed them with grass.",CW,Y
"If dogs had eaten vegetables, families might have fed them with grass.",CW,Y
"If dogs had eaten vegetables, families would have fed them with apples.",CW,Y
"If dogs had eaten vegetables, families might have fed them with apples.",CW,Y
"If dogs had eaten vegetables, families would have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, families might have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, their mothers would have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, their mothers might have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, their mothers would have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, their mothers might have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, their mothers would have fed them with grass.",CW,Y
"If dogs had eaten vegetables, their mothers might have fed them with grass.",CW,Y
"If dogs had eaten vegetables, their mothers would have fed them with apples.",CW,Y
"If dogs had eaten vegetables, their mothers might have fed them with apples.",CW,Y
"If dogs had eaten vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, breeders would have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, breeders might have fed them with carrots.",CW,Y
"If dogs had eaten vegetables, breeders would have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, breeders might have fed them with cabbages.",CW,Y
"If dogs had eaten vegetables, breeders would have fed them with grass.",CW,Y
"If dogs had eaten vegetables, breeders might have fed them with grass.",CW,Y
"If dogs had eaten vegetables, breeders would have fed them with apples.",CW,Y
"If dogs had eaten vegetables, breeders might have fed them with apples.",CW,Y
"If dogs had eaten vegetables, breeders would have fed them with tomatoes.",CW,Y
"If dogs had eaten vegetables, breeders might have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, people would have fed them with carrots.",CW,Y
"If dogs had liked vegetables, people might have fed them with carrots.",CW,Y
"If dogs had liked vegetables, people would have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, people might have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, people would have fed them with grass.",CW,Y
"If dogs had liked vegetables, people might have fed them with grass.",CW,Y
"If dogs had liked vegetables, people would have fed them with apples.",CW,Y
"If dogs had liked vegetables, people might have fed them with apples.",CW,Y
"If dogs had liked vegetables, people would have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, people might have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If dogs had liked vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If dogs had liked vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, zoo keepers would have fed them with grass.",CW,Y
"If dogs had liked vegetables, zoo keepers might have fed them with grass.",CW,Y
"If dogs had liked vegetables, zoo keepers would have fed them with apples.",CW,Y
"If dogs had liked vegetables, zoo keepers might have fed them with apples.",CW,Y
"If dogs had liked vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, families would have fed them with carrots.",CW,Y
"If dogs had liked vegetables, families might have fed them with carrots.",CW,Y
"If dogs had liked vegetables, families would have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, families might have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, families would have fed them with grass.",CW,Y
"If dogs had liked vegetables, families might have fed them with grass.",CW,Y
"If dogs had liked vegetables, families would have fed them with apples.",CW,Y
"If dogs had liked vegetables, families might have fed them with apples.",CW,Y
"If dogs had liked vegetables, families would have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, families might have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, their mothers would have fed them with carrots.",CW,Y
"If dogs had liked vegetables, their mothers might have fed them with carrots.",CW,Y
"If dogs had liked vegetables, their mothers would have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, their mothers might have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, their mothers would have fed them with grass.",CW,Y
"If dogs had liked vegetables, their mothers might have fed them with grass.",CW,Y
"If dogs had liked vegetables, their mothers would have fed them with apples.",CW,Y
"If dogs had liked vegetables, their mothers might have fed them with apples.",CW,Y
"If dogs had liked vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, breeders would have fed them with carrots.",CW,Y
"If dogs had liked vegetables, breeders might have fed them with carrots.",CW,Y
"If dogs had liked vegetables, breeders would have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, breeders might have fed them with cabbages.",CW,Y
"If dogs had liked vegetables, breeders would have fed them with grass.",CW,Y
"If dogs had liked vegetables, breeders might have fed them with grass.",CW,Y
"If dogs had liked vegetables, breeders would have fed them with apples.",CW,Y
"If dogs had liked vegetables, breeders might have fed them with apples.",CW,Y
"If dogs had liked vegetables, breeders would have fed them with tomatoes.",CW,Y
"If dogs had liked vegetables, breeders might have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, people would have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, people might have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, people would have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, people might have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, people would have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, people might have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, people would have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, people might have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, people would have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, people might have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, zoo keepers would have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, zoo keepers might have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, zoo keepers would have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, zoo keepers might have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, zoo keepers would have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, zoo keepers might have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, families would have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, families might have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, families would have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, families might have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, families would have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, families might have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, families would have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, families might have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, families would have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, families might have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, their mothers would have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, their mothers might have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, their mothers would have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, their mothers might have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, their mothers would have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, their mothers might have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, their mothers would have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, their mothers might have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, their mothers would have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, their mothers might have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, breeders would have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, breeders might have fed them with carrots.",CW,Y
"If dogs had been interested in vegetables, breeders would have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, breeders might have fed them with cabbages.",CW,Y
"If dogs had been interested in vegetables, breeders would have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, breeders might have fed them with grass.",CW,Y
"If dogs had been interested in vegetables, breeders would have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, breeders might have fed them with apples.",CW,Y
"If dogs had been interested in vegetables, breeders would have fed them with tomatoes.",CW,Y
"If dogs had been interested in vegetables, breeders might have fed them with tomatoes.",CW,Y
"If penguins had loved vegetables, people would have fed them with carrots.",CW,Y
"If penguins had loved vegetables, people might have fed them with carrots.",CW,Y
"If penguins had loved vegetables, people would have fed them with cabbages.",CW,Y
"If penguins had loved vegetables, people might have fed them with cabbages.",CW,Y
"If penguins had loved vegetables, people would have fed them with grass.",CW,Y
"If penguins had loved vegetables, people might have fed them with grass.",CW,Y
"If penguins had loved vegetables, people would have fed them with apples.",CW,Y
"If penguins had loved vegetables, people might have fed them with apples.",CW,Y
"If penguins had loved vegetables, people would have fed them with tomatoes.",CW,Y
"If penguins had loved vegetables, people might have fed them with tomatoes.",CW,Y
"If penguins had loved vegetables, zoo keepers would have fed them with carrots.",CW,Y
"If penguins had loved vegetables, zoo keepers might have fed them with carrots.",CW,Y
"If penguins had loved vegetables, zoo keepers would have fed them with cabbages.",CW,Y
"If penguins had loved vegetables, zoo keepers might have fed them with cabbages.",CW,Y
"If penguins had loved vegetables, zoo keepers would have fed them with grass.",CW,Y
"If penguins had loved vegetables, zoo keepers might have fed them with grass.",CW,Y
"If penguins had loved vegetables, zoo keepers would have fed them with apples.",CW,Y
